alg	i	diff	solved	time	mem
Depth-first with AC3	57	hard	True	0.0076141357	223.671875
Dancing Links	57	hard	True	0.0141010284	362.623046875
Genetic Algorithm	57	hard	True	7.6116111279	382.080078125
Simulated Annealing	57	hard	True	0.4191849232	8.306640625
Depth-first search	58	hard	True	1.1797370911	1027.9296875
Depth-first with AC3	58	hard	True	0.0075976849	222.25
Dancing Links	58	hard	True	0.0139951706	362.623046875
Genetic Algorithm	58	hard	True	33.4604361057	382.255859375
Simulated Annealing	58	hard	True	12.4404401779	8.38671875
Depth-first search	59	hard	True	0.0585939884	813.75
Depth-first with AC3	59	hard	True	0.0086872578	216.203125
Dancing Links	59	hard	True	0.0156528950	362.623046875
Genetic Algorithm	59	hard	True	3.4832439423	192.8212890625
Simulated Annealing	59	hard	True	1.1042320728	8.2216796875
Depth-first search	60	extreme	True	0.3026738167	1217.9765625
Depth-first with AC3	60	extreme	True	0.0086929798	240.3828125
Dancing Links	60	extreme	True	0.0154752731	493.263671875
Genetic Algorithm	60	extreme	False	40.5482618809	382.212890625
Simulated Annealing	60	extreme	True	15.4675300121	8.833984375
Depth-first search	61	extreme	True	0.3899629116	1138.8046875
Depth-first with AC3	61	extreme	True	0.0085811615	225.8046875
Dancing Links	61	extreme	True	0.0144157410	362.623046875
Genetic Algorithm	61	extreme	False	40.3218321800	382.212890625
Simulated Annealing	61	extreme	True	10.1953668594	8.4443359375
Depth-first search	62	extreme	True	0.1022510529	1135.2109375
Depth-first with AC3	62	extreme	True	0.0086061954	225.09375
Dancing Links	62	extreme	True	0.0139520168	362.623046875
Genetic Algorithm	62	extreme	False	36.0949001312	382.212890625
Simulated Annealing	62	extreme	True	11.5966210365	8.2734375
Depth-first search	63	extreme	True	2.5414330959	1220.1953125
Depth-first with AC3	63	extreme	True	0.0103199482	227.3203125
Dancing Links	63	extreme	True	0.0140302181	362.623046875
Genetic Algorithm	63	extreme	False	35.8627762794	382.212890625
Simulated Annealing	63	extreme	True	36.3524720669	8.6923828125
Depth-first search	64	extreme	True	0.1995589733	1300.6640625
Depth-first with AC3	64	extreme	True	0.0121431351	231.1953125
Dancing Links	64	extreme	True	0.0143659115	362.623046875
Genetic Algorithm	64	extreme	False	39.5399789810	382.212890625
Simulated Annealing	64	extreme	False	298.6969621181	8.7060546875
Depth-first search	65	extreme	True	1.0127680302	1130.515625
Depth-first with AC3	65	extreme	True	0.0076901913	225.09375
Dancing Links	65	extreme	True	0.0141460896	362.623046875
Genetic Algorithm	65	extreme	True	25.1360960007	382.212890625
Simulated Annealing	65	extreme	True	11.0307650566	8.4609375
Depth-first search	66	extreme	True	13.5638630390	1268.265625
Depth-first with AC3	66	extreme	True	0.0124421120	344.5078125
Dancing Links	66	extreme	True	0.0161621571	493.263671875
Genetic Algorithm	66	extreme	False	37.3009610176	382.212890625
Simulated Annealing	66	extreme	True	27.8545238972	8.75390625
Depth-first search	67	extreme	True	3.2704629898	1193.3203125
Depth-first with AC3	67	extreme	True	0.0244662762	393.857421875
Dancing Links	67	extreme	True	0.0141432285	362.623046875
Genetic Algorithm	67	extreme	False	38.0329508781	382.212890625
Simulated Annealing	67	extreme	True	19.0544807911	8.615234375
Depth-first search	68	extreme	True	0.2555599213	1233.34375
Depth-first with AC3	68	extreme	True	0.0095000267	240.1953125
Dancing Links	68	extreme	True	0.0142011642	362.623046875
Genetic Algorithm	68	extreme	False	35.3665390015	382.212890625
Simulated Annealing	68	extreme	False	297.2056419849	8.39453125
Depth-first search	69	extreme	True	8.0999679565	1232.703125
Depth-first with AC3	69	extreme	True	0.0091779232	227.9375
Dancing Links	69	extreme	True	0.0156290531	493.263671875
Genetic Algorithm	69	extreme	False	36.4834361076	382.212890625
Simulated Annealing	69	extreme	False	314.2237439156	8.974609375
Depth-first search	70	extreme	True	14.1735160351	1269.1015625
Depth-first with AC3	70	extreme	True	0.0160210133	325.140625
Dancing Links	70	extreme	True	0.0162658691	493.263671875
Genetic Algorithm	70	extreme	False	37.9075961113	382.212890625
Simulated Annealing	70	extreme	False	297.2102270126	8.6298828125
Depth-first search	71	extreme	True	3.0103302002	1219.4296875
Depth-first with AC3	71	extreme	True	0.0107309818	227.9921875
Dancing Links	71	extreme	True	0.0153501034	493.263671875
Genetic Algorithm	71	extreme	False	36.5647308826	382.212890625
Simulated Annealing	71	extreme	False	298.6338701248	8.880859375
Depth-first search	72	extreme	True	1.5088608265	1073.1953125
Depth-first with AC3	72	extreme	True	0.0085091591	224.3828125
Dancing Links	72	extreme	True	0.0139729977	362.623046875
Genetic Algorithm	72	extreme	False	42.0555539131	382.212890625
Simulated Annealing	72	extreme	True	2.2458267212	8.4306640625
Depth-first search	73	extreme	True	0.1245808601	1176.4765625
Depth-first with AC3	73	extreme	True	0.0092279911	227.15625
Dancing Links	73	extreme	True	0.0176582336	362.623046875
Genetic Algorithm	73	extreme	False	35.6940190792	382.212890625
Simulated Annealing	73	extreme	True	13.0351221561	8.287109375
Depth-first search	74	extreme	True	0.2474932671	1208.203125
Depth-first with AC3	74	extreme	True	0.0084748268	226.515625
Dancing Links	74	extreme	True	0.0141589642	362.623046875
Genetic Algorithm	74	extreme	False	37.3799071312	382.212890625
Simulated Annealing	74	extreme	True	7.6475419998	8.521484375
Depth-first search	75	extreme	True	0.0254681110	1041.4375
Depth-first with AC3	75	extreme	True	0.0082757473	222.9609375
Dancing Links	75	extreme	True	0.0138800144	362.623046875
Genetic Algorithm	75	extreme	False	34.3086678982	382.212890625
Simulated Annealing	75	extreme	True	1.6148929596	8.6044921875
Depth-first search	76	extreme	True	0.4539468288	1142.3671875
Depth-first with AC3	76	extreme	True	0.0097069740	258.984375
